particle,theta_deg
0,0.05582969
1,0.02886582
2,0.03995270
3,0.03727637
4,0.02629551
5,0.07283066
6,0.03658913
7,0.04166263
8,0.03362213
9,0.06537797
10,0.04545509
11,0.03355189
12,0.11467055
13,0.04058004
14,0.02870456
15,0.04592414
16,0.03508503
17,0.02933904
18,0.03374885
19,0.02677910
20,0.03414537
21,0.03960511
22,0.05873561
23,0.04640637
24,0.06767018
25,0.03428829
26,0.02897618
27,0.15000912
28,0.02836380
29,0.02629162
30,0.02963646
31,0.03096778
32,0.02667900
33,0.02963575
34,0.06199278
35,0.06243999
36,0.05348851
37,0.03460162
38,0.07577731
39,0.04000271
40,0.09736587
41,0.03038710
42,0.03214563
43,0.02734439
44,0.05648086
45,0.08165047
46,0.03311369
47,0.03387420
48,0.05372414
49,0.02831174
50,0.03154533
51,0.04973022
52,0.03641050
53,0.02764100
54,0.06108134
55,0.04478672
56,0.02707074
57,0.06905256
58,0.02916627
59,0.21206481
60,0.22518096
61,0.02634542
62,0.07739021
63,0.03590917
64,0.03364850
65,0.04043044
66,0.03642364
67,0.04630359
68,0.03302403
69,0.02718053
70,0.10544938
71,0.05334839
72,0.03287520
73,0.04429681
74,0.03460346
75,0.13827798
76,0.02626797
77,0.02826709
78,0.03344758
79,0.05649398
80,0.05901000
81,0.02733264
82,0.04211723
83,0.03838797
84,0.04923235
85,0.02690465
86,0.03156224
87,0.02640907
88,0.11925882
89,0.03831004
90,0.03210989
91,0.03842748
92,0.02962420
93,0.03141131
94,0.04544085
95,0.04972337
96,0.11383060
97,0.03373043
98,0.04695693
99,0.03711964
100,0.02920381
101,0.08271442
102,0.04070629
103,0.02714750
104,0.03128091
105,0.04146050
106,0.03398298
107,0.03122893
108,0.06780734
109,0.03202843
110,0.03808545
111,0.03026475
112,0.02660085
113,0.03856713
114,0.08533689
115,0.09430678
116,0.12177238
117,0.05146248
118,0.04277853
119,0.03224069
120,0.15629954
121,0.02702031
122,0.08097948
123,0.02938112
124,0.03031668
125,0.06125089
126,0.03268523
127,0.03517940
128,0.20807856
129,0.04253087
130,0.03128145
131,0.02992393
132,0.05836928
133,0.03934774
134,0.04224990
135,0.02790342
136,0.02841215
137,0.03394745
138,0.06173445
139,0.07598285
140,0.03175910
141,0.03706041
142,0.03311403
143,0.28680196
144,0.03102669
145,0.04053806
146,0.09652962
147,0.03154220
148,0.03228226
149,0.03452597
150,0.02955221
151,0.06200470
152,0.03747309
153,0.04471140
154,0.04203982
155,0.04704802
156,0.03364616
157,0.03133551
158,0.03476007
159,0.02838998
160,0.03041531
161,0.06092923
162,0.04176213
163,0.02985930
164,0.02733276
165,0.05316815
166,0.03714882
167,0.08705453
168,0.06011857
169,0.08040216
170,0.05137983
171,0.02797698
172,0.02620768
173,0.04607346
174,0.04560452
175,0.16297117
176,0.02662826
177,0.03351059
178,0.06130767
179,0.08406617
180,0.03110390
181,0.03058021
182,0.05033730
183,0.06635425
184,0.02640094
185,0.03695134
186,0.03281579
187,0.05935041
188,0.02620951
189,0.03712572
190,0.02920805
191,0.03959652
192,0.06039532
193,0.04226383
194,0.02619540
195,0.04825202
196,0.17290547
197,0.03721581
198,0.02815077
199,0.02961659
200,0.03016629
201,0.03249663
202,0.03708557
203,0.10761308
204,0.06057724
205,0.02607862
206,0.03006056
207,0.04785675
208,0.03600215
209,0.03346603
210,0.02907249
211,0.03305963
212,0.03931643
213,0.02757359
214,0.04303391
215,0.04710584
216,0.03078609
217,0.03141364
218,0.08659533
219,0.02621701
220,0.03842372
221,0.04026766
222,0.03092686
223,0.03230292
224,0.04439421
225,0.05262377
226,0.02939486
227,0.36679696
228,0.05249793
229,0.07451916
230,0.02839652
231,0.03803607
232,0.07626351
233,0.04314305
234,0.46863284
235,0.10914436
236,0.02749129
237,0.05835456
238,0.02727389
239,0.03223957
240,0.03061509
241,0.04383634
242,0.06218446
243,0.03217387
244,0.04156165
245,0.14150106
246,0.07218139
247,0.02829313
248,0.06241036
249,0.02713310
250,0.03428023
251,0.07289510
252,0.06401798
253,0.03698461
254,0.12011910
255,0.03623621
256,0.02859751
257,0.07422667
258,0.06711377
259,0.09462941
260,0.05078748
261,0.02782355
262,0.04085174
263,0.06109232
264,0.04208174
265,0.03474416
266,0.02724765
267,0.04094952
268,0.02724658
269,0.02786803
270,0.10629907
271,0.05129147
272,0.02609950
273,0.02890527
274,0.05535980
275,0.08370455
276,0.04760390
277,0.03700821
278,0.03273510
279,0.02934243
280,0.09344425
281,0.03721948
282,0.03068784
283,0.06837541
284,0.03059089
285,0.07272348
286,0.05932915
287,0.04290494
288,0.02879896
289,0.08797531
290,0.04970105
291,0.04213858
292,0.05478993
293,0.05753909
294,0.02765935
295,0.02749172
296,0.02735697
297,0.07871669
298,0.03315806
299,0.05425497
300,0.03169918
301,0.07513029
302,0.04353397
303,0.03808151
304,0.05559624
305,0.12163027
306,0.02828289
307,0.03112965
308,0.05182135
309,0.03684755
310,0.12118834
311,0.03122327
312,0.03517455
313,0.04261957
314,0.03252481
315,0.04674587
316,0.03811525
317,0.27376008
318,0.06082114
319,0.23935515
320,0.04334817
321,0.03135416
322,0.02664608
323,0.03254141
324,0.06479047
325,0.02874607
326,0.02691071
327,0.04234677
328,0.04301490
329,0.03420766
330,0.03950525
331,0.04663767
332,0.02722672
333,0.03377502
334,0.02722469
335,0.03022924
336,0.02610396
337,0.03187686
338,0.02709681
339,0.03024090
340,0.05339870
341,0.05442869
342,0.02992317
343,0.05908770
344,0.04328880
345,0.03034195
346,0.02688944
347,0.07431867
348,0.04156706
349,0.05208704
350,0.02648927
351,0.02609031
352,0.02625137
353,0.03754890
354,0.02879855
355,0.03125089
356,0.04272972
357,0.02937961
358,0.08158799
359,0.13930077
360,0.03719119
361,0.08913491
362,0.03672793
363,0.02758037
364,0.03014860
365,0.02609364
366,0.03769200
367,0.02656825
368,0.06890713
369,0.02997074
370,0.03269460
371,0.02704810
372,0.04524532
373,0.03573742
374,0.03486613
375,0.05790757
376,0.02623328
377,0.03078319
378,0.03321073
379,0.04292145
380,0.04728232
381,0.02680320
382,0.07346392
383,0.03973551
384,0.13913052
385,0.03622294
386,0.14654576
387,0.07430454
388,0.27014443
389,0.03134899
390,0.04934657
391,0.45497217
392,0.02691843
393,0.03884114
394,0.03055119
395,0.02823377
396,0.02713934
397,0.03171598
398,0.25491044
399,0.05602978
400,0.03432225
401,0.04297913
402,0.03532602
403,0.04481559
404,0.04304714
405,0.04142754
406,0.03609019
407,0.02965271
408,0.09954983
409,0.04136348
410,0.06467626
411,0.04630608
412,0.02789548
413,0.02898630
414,0.04127327
415,0.04766892
416,0.05366580
417,0.04430065
418,0.02879522
419,0.06216282
420,0.04075956
421,0.07105204
422,0.03494191
423,0.06322471
424,0.07929758
425,0.04592138
426,0.08993597
427,0.05990966
428,0.03562668
429,0.02654344
430,0.02676562
431,0.03673789
432,0.02988453
433,0.03564248
434,0.02738936
435,0.04851406
436,0.03025110
437,0.05280612
438,0.04792318
439,0.03655266
440,0.02785051
441,0.07780196
442,0.03995609
443,0.11010306
444,0.03071576
445,0.12459199
446,0.02752668
447,0.06482998
448,0.04508117
449,0.03300751
450,0.02847379
451,0.03070097
452,0.08214953
453,0.02922803
454,0.05817012
455,0.03370095
456,0.10518061
457,0.04713479
458,0.03812294
459,0.03911995
460,0.04971154
461,0.03586096
462,0.05166265
463,0.11743416
464,0.04869923
465,0.04661912
466,0.03791253
467,0.12615114
468,0.03311239
469,0.02655043
470,0.03210451
471,0.03366667
472,0.03313961
473,0.03760907
474,0.09350474
475,0.05950529
476,0.08732903
477,0.03368978
478,0.03474788
479,0.04064148
480,0.04637962
481,0.02811256
482,0.08382494
483,0.03155203
484,0.06331123
485,0.26519641
486,0.06092621
487,0.03258262
488,0.04046038
489,0.26334924
490,0.02780476
491,0.06412926
492,0.09008706
493,0.17869535
494,0.04130656
495,0.03659456
496,0.06249154
497,0.02729584
498,0.04536340
499,0.02701307
500,0.03116443
501,0.03639498
502,0.02763167
503,0.03955625
504,0.04270819
505,0.03198274
506,0.05230777
507,0.03949024
508,0.02953052
509,0.02684379
510,0.02756506
511,0.04519734
512,0.03366243
513,0.03590041
514,0.02870843
515,0.20005178
516,0.08170206
517,0.02762933
518,0.02761516
519,0.02679502
520,0.02706640
521,0.03024871
522,0.04597167
523,0.03011153
524,0.08661733
525,0.03941962
526,0.03614957
527,0.02874820
528,0.04561163
529,0.04067761
530,0.06663076
531,0.02879376
532,0.02637139
533,0.03061596
534,0.15283176
535,0.05332058
536,0.02612708
537,0.03296815
538,0.02656460
539,0.04838427
540,0.07457416
541,0.02668945
542,0.03283802
543,0.02608828
544,0.03084178
545,0.02736990
546,0.03140036
547,0.04148871
548,0.02763491
549,0.05408983
550,0.04132489
551,0.03895790
552,0.03332678
553,0.07990504
554,0.03093261
555,0.05191013
556,0.03694961
557,0.10609039
558,0.21043211
559,0.03506844
560,0.02770131
561,0.03359649
562,0.02908564
563,0.04088644
564,0.03516520
565,0.02729210
566,0.02700156
567,0.02990648
568,0.03912761
569,0.07650649
570,0.04224421
571,0.13289833
572,0.09826908
573,0.02687178
574,0.06445730
575,0.03245059
576,0.02918657
577,0.03267585
578,0.02675846
579,0.02718247
580,0.02641972
581,0.04479633
582,0.03435388
583,0.03008908
584,0.03287248
585,0.19954326
586,0.02709720
587,0.06499042
588,0.19607809
589,0.03010913
590,0.02622032
591,0.03543604
592,0.04425861
593,0.02667213
594,0.07454075
595,0.02639789
596,0.03219389
597,0.03882328
598,0.05258205
599,0.03049031
600,0.02794218
601,0.04971963
602,0.02667732
603,0.08010180
604,0.04205310
605,0.06104666
606,0.02891914
607,0.04771437
608,0.09444569
609,0.05028045
610,0.04013076
611,0.04967842
612,0.03058473
613,0.04494994
614,0.03729517
615,0.03188782
616,0.03122462
617,0.05463330
618,0.02763338
619,0.03922781
620,0.05541366
621,0.26021758
622,0.03411355
623,0.04049658
624,0.02954079
625,0.02869499
626,0.02842200
627,0.04589085
628,0.09478746
629,0.03413497
630,0.04258064
631,0.02735560
632,0.05369125
633,0.03087320
634,0.03204190
635,0.04137635
636,0.03253877
637,0.04281640
638,0.02802152
639,0.05196380
640,0.03500704
641,0.03312132
642,0.07474807
643,0.04781831
644,0.05749761
645,0.03231783
646,0.02742727
647,0.04275383
648,0.04219406
649,0.02979976
650,0.02643533
651,0.04436620
652,0.05440568
653,0.02707021
654,0.02627063
655,0.05110275
656,0.03345232
657,0.02887698
658,0.02748793
659,0.03501794
660,0.02677041
661,0.04630800
662,0.05764106
663,0.02749593
664,0.02697949
665,0.07491897
666,0.03995035
667,0.06497416
668,0.04708273
669,0.03819488
670,0.03010062
671,0.02869468
672,0.04666009
673,0.04661040
674,0.04792503
675,0.03034284
676,0.05136344
677,0.03557652
678,0.20862727
679,0.02805563
680,0.07959125
681,0.06067403
682,0.04087440
683,0.03677081
684,0.06828781
685,0.02635265
686,0.07176679
687,0.05689407
688,0.03128884
689,0.03554115
690,0.04979860
691,0.04498220
692,0.02691659
693,0.03392555
694,0.03797185
695,0.03002570
696,0.03802121
697,0.02642637
698,0.02964629
699,0.02705241
700,0.04312827
701,0.03186680
702,0.02801822
703,0.03284909
704,0.03602565
705,0.10941561
706,0.22528896
707,0.03100354
708,0.05863297
709,0.02964517
710,0.03091113
711,0.02632729
712,0.02633462
713,0.15229219
714,0.06351039
715,0.02987142
716,0.03199378
717,0.04278255
718,0.06461729
719,0.03713124
720,0.03168115
721,0.04783063
722,0.04288277
723,0.03342709
724,0.04250404
725,0.07639840
726,0.02839694
727,0.02782206
728,0.05101671
729,0.02963557
730,0.07563203
731,0.02932937
732,0.03354994
733,0.06990782
734,0.03508207
735,0.03919355
736,0.04031675
737,0.02897605
738,0.02979050
739,0.03196746
740,0.02959130
741,0.05173305
742,0.06228311
743,0.04629291
744,0.03297992
745,0.04426284
746,0.14170180
747,0.04031565
748,0.03344141
749,0.04267441
750,0.08614976
751,0.02780432
752,0.02652524
753,0.02692079
754,0.05158060
755,0.02776358
756,0.13292014
757,0.03848780
758,0.02886433
759,0.06794525
760,0.04516628
761,0.03236622
762,0.03978567
763,0.03250593
764,0.03722168
765,0.02914047
766,0.03560241
767,0.03620534
768,0.27716630
769,0.02739665
770,0.03727431
771,0.04895130
772,0.04652634
773,0.03291822
774,0.03968154
775,0.02710933
776,0.04475862
777,0.11429879
778,0.03407571
779,0.02842468
780,0.03519397
781,0.03310632
782,0.04005577
783,0.04258748
784,0.02901193
785,0.03462813
786,0.04194077
787,0.04238231
788,0.03990242
789,0.07987671
790,0.02612979
791,0.02629769
792,0.02981660
793,0.03520308
794,0.05760383
795,0.05622250
796,0.02819688
797,0.03237235
798,0.03083726
799,0.22994142
800,0.04065608
801,0.17886064
802,0.02859968
803,0.11231620
804,0.03517296
805,0.05050769
806,0.05998969
807,0.04877007
808,0.12592198
809,0.02830568
810,0.03429022
811,0.03893652
812,0.06691084
813,0.03169719
814,0.03343443
815,0.02608896
816,0.04702543
817,0.03000482
818,0.05941569
819,0.03002015
820,0.02771264
821,0.02937993
822,0.04099717
823,0.04785618
824,0.02804072
825,0.08933802
826,0.03176344
827,0.03547699
828,0.04158851
829,0.03027993
830,0.03850132
831,0.04453927
832,0.03526183
833,0.02822647
834,0.03673087
835,0.02784684
836,0.12719110
837,0.05922085
838,0.03621525
839,0.03412861
840,0.05775780
841,0.02758593
842,0.03749437
843,0.03010676
844,0.07558194
845,0.03295169
846,0.03949003
847,0.02643014
848,0.03258557
849,0.14693038
850,0.39402130
851,0.05491421
852,0.05036985
853,0.02659150
854,0.18117568
855,0.04405453
856,0.04837781
857,0.02763611
858,0.04150157
859,0.04018227
860,0.03411377
861,0.07118024
862,0.04748851
863,0.02956583
864,0.02929813
865,0.03440483
866,0.09950313
867,0.02665792
868,0.13146849
869,0.02823356
870,0.02784693
871,0.05777989
872,0.02722102
873,0.03097665
874,0.03109301
875,0.02869137
876,0.06528547
877,0.11582720
878,0.04330501
879,0.07522270
880,0.04179416
881,0.04421111
882,0.14495377
883,0.02658548
884,0.03646507
885,0.02629398
886,0.02651714
887,0.03843078
888,0.04227607
889,0.03863685
890,0.06595765
891,0.05158278
892,0.03594316
893,0.03930863
894,0.04757464
895,0.04031210
896,0.02828604
897,0.02666507
898,0.03020260
899,0.98675030
900,0.04311029
901,0.04204538
902,0.02666684
903,0.05714501
904,0.04330761
905,0.27314996
906,0.02895287
907,0.06304087
908,0.02747343
909,0.08504883
910,0.04267600
911,0.09877498
912,0.03668151
913,0.02791517
914,0.03725114
915,0.04970789
916,0.03129634
917,0.03017153
918,0.07340551
919,0.08362475
920,0.03840053
921,0.04500935
922,0.08413824
923,0.02990172
924,0.14411110
925,0.06048387
926,0.04296394
927,0.04414921
928,0.02717519
929,0.02929867
930,0.02630591
931,0.02837847
932,0.05211855
933,0.02946120
934,0.16409465
935,0.03428628
936,0.03358684
937,0.03374603
938,0.06251091
939,0.03944963
940,0.04547062
941,0.02903773
942,0.03109492
943,0.02948843
944,0.06543709
945,0.11687728
946,0.02958807
947,0.04946391
948,0.08046233
949,0.17780047
950,0.02686814
951,0.02941016
952,0.03665973
953,0.04527812
954,0.07833793
955,0.03263236
956,0.05841084
957,0.03392682
958,0.09206334
959,0.04791296
960,0.05694110
961,0.05225980
962,0.04209448
963,0.05618624
964,0.08357020
965,0.05574888
966,0.02863194
967,0.02725413
968,0.09954424
969,0.03131031
970,0.02768803
971,0.02956033
972,0.33368393
973,0.03729301
974,0.05143421
975,0.12178989
976,0.03556494
977,0.10156055
978,0.02772610
979,0.03017966
980,0.07395137
981,0.02989267
982,0.05217805
983,0.02783643
984,0.03187755
985,0.03098254
986,0.04271363
987,0.02951827
988,0.03381754
989,0.04027351
990,0.07138846
991,0.02750535
992,0.03972831
993,0.02900181
994,0.03509112
995,0.03270064
996,0.06318002
997,0.02690125
998,0.02836925
999,0.02796711
1000,0.02795173
1001,0.02943552
1002,0.03078220
1003,0.02977382
1004,0.05925732
1005,0.04133711
1006,0.09892570
1007,0.03253625
1008,0.05428793
1009,0.04996421
1010,0.02989862
1011,0.03121605
1012,0.03781025
1013,0.03812544
1014,0.06101793
1015,0.03061752
1016,0.04257294
1017,0.04584195
1018,0.05526247
1019,0.02797020
1020,0.03900141
1021,0.04829871
1022,0.04537310
1023,0.02923841
1024,0.02642633
1025,0.03955949
1026,0.03603431
1027,0.09866059
1028,0.03925994
1029,0.12791272
1030,0.02890637
1031,0.04394443
1032,0.03010250
1033,0.04523570
1034,0.03563835
1035,0.04059895
1036,0.02616874
1037,0.03743953
1038,0.05739272
1039,0.02933424
1040,0.03184055
1041,0.07218170
1042,0.04048106
1043,0.02619670
1044,0.05573432
1045,0.03414960
1046,0.09251140
1047,0.02953831
1048,0.02905191
1049,0.02700397
1050,0.06290065
1051,0.03091971
1052,0.08687335
1053,0.04051219
1054,0.04562384
1055,0.06038644
1056,0.02633888
1057,0.04883949
1058,0.04090973
1059,0.02673343
1060,0.02710709
1061,0.02641478
1062,0.03186819
1063,0.03446329
1064,0.03956737
1065,0.04826891
1066,0.04120411
1067,0.03870302
1068,0.09952252
1069,0.04652425
1070,0.04243046
1071,0.04452159
1072,0.02897395
1073,0.03430405
1074,0.03207271
1075,0.03467510
1076,0.05386963
1077,0.02736985
1078,0.04189143
1079,0.06094479
1080,0.03264340
1081,0.07884912
1082,0.04767244
1083,0.03011829
1084,0.03434788
1085,0.03327165
1086,0.02819086
1087,0.11253627
1088,0.03203834
1089,0.04132429
1090,0.02990726
1091,0.02838170
1092,0.02650408
1093,0.05430578
1094,0.02979080
1095,0.11995353
1096,0.02886174
1097,0.03800927
1098,0.07198950
1099,0.02682957
1100,0.03850513
1101,0.03307659
1102,0.03132328
1103,0.03785820
1104,0.06246383
1105,0.03035514
1106,0.02929481
1107,0.05101878
1108,0.12242740
1109,0.02748066
1110,0.03386087
1111,0.04680832
1112,0.08327871
1113,0.03121279
1114,0.04024303
1115,0.24818648
1116,0.03791856
1117,0.03014742
1118,0.03384250
1119,0.03133727
1120,0.05232595
1121,0.04417669
1122,0.08367510
1123,0.02816198
1124,0.03504141
